,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_Intercept_subj.11,0.12657686762498394,0.011092544965411873,0.1029622194489799,0.1195962915269763,0.12768683851892926,0.13460811763334446,0.14542956685232145,0.00021009490632153171
t_Intercept_subj.12,0.28128413697082799,0.017298717330225213,0.24337616694517972,0.27039979068959474,0.28260318324931488,0.29363543812011966,0.31108414458389905,0.00039157644205005236
t_Intercept_subj.13,0.15767924622418109,0.01210737254684025,0.13122826765156279,0.15005649519211475,0.15886677418350748,0.16628786581865482,0.17835643879920021,0.00021811094411403392
t_Intercept_subj.14,1.4593556309148226,0.058266229648508007,1.3376229055916751,1.4224982747484647,1.4616341126511279,1.5003265907761079,1.5651319360763736,0.0014573256193810605
t_Intercept_subj.15,0.90481072912055682,0.040178225452254877,0.81897628160665348,0.8796113927463749,0.90759799861449586,0.93243767250522747,0.97503731677693772,0.00088114945523933756
t_Intercept_subj.16,0.2706749406550944,0.018418930340199136,0.22900831027018165,0.25956025297405549,0.27244549061612133,0.28376994958430996,0.30153428646637687,0.00032954831194346762
t_Intercept_subj.17,0.41424593053634634,0.049256523197639006,0.31149371769172501,0.38316476347868728,0.41694675675259407,0.44853570506930707,0.50519680917216014,0.0011878562694350064
t_Intercept_subj.18,0.28316665409035385,0.025970541701195057,0.22716372643206115,0.26760753199145149,0.28439878063468055,0.301248208471183,0.3300396043743879,0.00058577088342135169
t_Intercept_subj.19,1.0543357735703573,0.061843329801458256,0.92119087678714373,1.0150681801532784,1.0588306635460287,1.0971888995916086,1.1632521404315099,0.0014332346269360001
t_Intercept_subj.20,0.24224943570082405,0.025967596201891416,0.1847508385720687,0.22658580016348917,0.24465670818904139,0.26039796621498856,0.2861772841523158,0.00051340386584033222
t_Intercept_subj.21,0.51039462516723089,0.026513690018675297,0.4548788340841517,0.49326415889011777,0.51197678484275833,0.52866379558832943,0.55884098630430601,0.00053669426888057546
t_Intercept_subj.22,0.0018185571094028056,0.00083164033057223823,0.0010188812089352655,0.0012334248874720085,0.0015825765964592514,0.0021240285956596883,0.0039079968305412958,1.995246933166182e-05
t_Intercept_subj.23,0.47537280172126112,0.026238260663278834,0.41979045046267538,0.45872389664807023,0.47754192097618492,0.49404362010462999,0.52192820683303476,0.0005323339986344339
t_swapAmount,0.18762072850001196,0.0015348200195895332,0.18445437708948653,0.18661992588695231,0.18768144108686255,0.18866441666814548,0.19053433030020855,3.5422445489341394e-05
