,mean,std,2.5q,25q,50q,75q,97.5q,mc err
z_subj.12,0.47931855056600209,0.022273318387508616,0.43253626440955512,0.46452797275799651,0.48001336717889265,0.49474640287299582,0.52099125088742193,0.00060621862631738018
z_subj.13,0.50574535838142443,0.020943075051697256,0.46374431609445677,0.49164513015326528,0.50615565078120384,0.51946360166275607,0.54805706613263638,0.00052238033537877187
z_subj.14,0.50693919386527331,0.021783529766417224,0.4633687775581341,0.49223568249578198,0.50691487089551757,0.52157916501597212,0.55050996759452897,0.00059264090389182301
z_subj.15,0.50272766088637522,0.022700759092840774,0.45847733959063902,0.4880229064053091,0.50236937671109627,0.51785159760180732,0.54796102749084075,0.00061694363066572711
z_subj.16,0.52032857586295977,0.022667452039699412,0.47585656767513712,0.50483242941321105,0.52004085353241736,0.53580548192574229,0.56468273667805524,0.00065030816258953498
z_subj.17,0.56182945085921732,0.024942829321197006,0.51555780573010501,0.54399510807066254,0.56143911633746046,0.57849166910947913,0.61132017456579069,0.00083083522118460843
z_subj.18,0.522046836093916,0.022697325410347885,0.47755276763795623,0.50720563907951333,0.52231346195936956,0.5367834029198626,0.56763251544902515,0.0006894820535930452
z_subj.19,0.48604347946735599,0.021674298206358633,0.44271450664017115,0.47111143214752699,0.48633119062128471,0.50084536217245945,0.52834719364726701,0.00062088798190274952
z_subj.20,0.49199535612801526,0.021511806753568338,0.44884424896280412,0.47796254786988945,0.49254947128080107,0.50687213189442315,0.5329630041073119,0.00060811479993261818
z_subj.21,0.50375957922852499,0.021445828668732639,0.46365477220668772,0.48879423157749546,0.50341028192555515,0.51857926881740879,0.5452664377282469,0.00059387627092676541
z_subj.22,0.52441401906061624,0.023338006564244635,0.47975880432006829,0.5086271075836295,0.52454208610382602,0.54004921351416224,0.56964138386924223,0.00065794770363000353
z_subj.23,0.49608904530045983,0.023052695795017453,0.45242442095131996,0.47965160542408264,0.49647104145013771,0.51219774851741773,0.54180334991454682,0.00067270912575195091
z_subj.24,0.49784973088638557,0.020864857455795745,0.45592796769633276,0.4839535741603046,0.49810691184217631,0.51169604154261683,0.53842864228463083,0.00053756672860633906
z_subj.25,0.47650246904433025,0.022532052857724735,0.43116755253289651,0.46177224764783148,0.47675809561133825,0.49203332586083037,0.51947890157079857,0.00069698572219205725
z_subj.26,0.45392072384118798,0.025022061048755387,0.40224048194172962,0.43747312568952706,0.45503857378466067,0.47115936453054019,0.50095697913976844,0.0009416921718644587
