"","correct","earnings","trial","face_val","house_val","house_mult","face_mult","summed_val","image_list","key_entry_list","rt_list","participant","rt","total_fix_face_0","total_fix_house_1","first_image","last_image","final_earnings","abs_diff","fix_num","face_val_total","house_val_total","first_val","second_val","first_mult","second_mult","1_fixation","2_fixation","3_fixation","4_fixation","5_fixation","6_fixation","7_fixation","8_fixation","9_fixation","10_fixation","11_fixation","12_fixation","13_fixation","14_fixation","15_fixation","mean_fix","choice","summedVal","subject","absSummedVal","swapAmount","firstMult","firstVal","secondMult","secondVal","faceTotal","houseTotal","total_0_face","total_1_house"
"11",1,8.25,11,1,0.75,1,2,2.75,"[1, 0]","['space', 'f']","[2.3002683942813746, 4.416808402698734]",103,4.41680840269873,2.11654000841736,2.30026839428137,0,1,186.5,0.25,2,2,0.75,2,0.75,2,1,2.30026839428137,2.11654000841736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2.75,103,2.75,2,2,2,1,0.75,2,0.75,2.11654000841736,2.30026839428137
"12",1,8.25,12,0.25,-0.75,1,1,-0.5,"[1, 0]","['space', 'j']","[5.467038674874857, 8.90038107442706]",103,8.90038107442706,3.4333423995522,5.46703867487486,0,1,186.5,1,2,0.25,-0.75,0.25,-0.75,1,1,5.46703867487486,3.4333423995522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.5,103,0.5,2,1,0.25,1,-0.75,0.25,-0.75,3.4333423995522,5.46703867487486
"13",1,8.5,13,0.25,0,3,1,0.25,"[1, 0]","['space', 'f']","[4.116896303476096, 7.500150289068188]",103,7.50015028906819,3.38325398559209,4.1168963034761,0,1,186.5,0.25,2,0.25,0,0.25,0,1,3,4.1168963034761,3.38325398559209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.25,103,0.25,2,1,0.25,3,0,0.25,0,3.38325398559209,4.1168963034761
"14",1,10.25,14,1,0.75,1,1,1.75,"[1, 0]","['space', 'f']","[3.0167913210625557, 4.416896010228811]",103,4.41689601022881,1.40010468916626,3.01679132106256,0,1,186.5,0.25,2,1,0.75,1,0.75,1,1,3.01679132106256,1.40010468916626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.75,103,1.75,2,1,1,1,0.75,1,0.75,1.40010468916626,3.01679132106256
"15",1,10.25,15,-1,0,2,2,-2,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']","[3.08348411114639, 9.883494448100464, 10.250584294572036, 13.250321471981806]",103,13.2503214719818,3.45057395761796,9.79974751436384,1,0,186.5,1,4,-2,0,0,-2,2,2,3.08348411114639,6.80001033695407,0.367089846471572,2.99973717740977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-2,103,2,4,2,0,2,-2,-2,0,3.45057395761796,9.79974751436384
"16",1,10.25,16,0,0,1,1,0,"[1, 0]","['space', 'f']","[1.7673239308587654, 4.233602362985039]",103,4.23360236298504,2.46627843212627,1.76732393085877,0,1,186.5,0,2,0,0,0,0,1,1,1.76732393085877,2.46627843212627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0,103,0,2,1,0,1,0,0,0,2.46627843212627,1.76732393085877
"17",1,10.25,17,0.75,-0.75,1,1,0,"[1, 0, 1]","['space', 'space', 'f']","[2.4837970056541963, 5.667152234760579, 6.916953926503993]",103,6.91695392650399,3.18335522910638,3.73359869739761,1,1,186.5,1.5,3,0.75,-0.75,-0.75,0.75,1,1,2.4837970056542,3.18335522910638,1.24980169174341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0,103,0,3,1,-0.75,1,0.75,0.75,-0.75,3.18335522910638,3.73359869739761
"19",1,10.25,19,0,0,1,2,0,"[0, 1]","['space', 'f']","[0.9502898746231949, 2.650308129246696]",103,2.6503081292467,0.950289874623195,1.7000182546235,1,0,186.5,0,2,0,0,0,0,1,2,0.950289874623195,1.7000182546235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0,103,0,2,1,0,2,0,0,0,0.950289874623195,1.7000182546235
"20",1,11.75,20,0.25,0.75,1,3,1.5,"[1, 0]","['space', 'f']","[2.133553464052966, 4.5167982856783055]",103,4.51679828567831,2.38324482162534,2.13355346405297,0,1,186.5,0.5,2,0.75,0.75,0.75,0.75,3,1,2.13355346405297,2.38324482162534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.5,103,1.5,2,3,0.75,1,0.75,0.75,0.75,2.38324482162534,2.13355346405297
"21",1,11.75,21,0.25,-0.75,1,2,-0.25,"[1, 0]","['space', 'j']","[3.783660352570223, 10.80032814335027]",103,10.8003281433503,7.01666779078005,3.78366035257022,0,1,186.5,1,2,0.5,-0.75,0.5,-0.75,2,1,3.78366035257022,7.01666779078005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.25,103,0.25,2,2,0.5,1,-0.75,0.5,-0.75,7.01666779078005,3.78366035257022
