,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.18,0.63171315336461753,0.028750257000699164,0.57101503621145455,0.61344374923765455,0.63325460176098769,0.65172291165546969,0.68328685044001114,0.0006672764165850597
t_subj.19,1.4377557754984263,0.069256074929632122,1.292258296975302,1.3933044703925577,1.4415697345605469,1.4880359713168934,1.5618002550640588,0.0016177164493313303
t_subj.20,0.59422348557410964,0.030161845972242148,0.53034362055656503,0.57517635714920146,0.59616046507923692,0.61518294809328422,0.64800209769899575,0.00054747414080728168
t_subj.21,0.86908296266822327,0.028415252476721737,0.80846950869351175,0.85083431521746034,0.87059501073379719,0.88951591436440491,0.91855513570485947,0.0006365339353561544
t_subj.22,0.1855046315739371,0.03367701684488824,0.11447633012432495,0.16390649064238089,0.18863276757755928,0.20942527525393184,0.24392538808509123,0.00058413690341215668
t_subj.23,0.82522295533701728,0.030106374047892855,0.75859944699598558,0.80641318055618239,0.82717380506887805,0.84609507503956949,0.87751886366853404,0.00065563670504468325
z,0.50453062420745465,0.0077907813548671098,0.4890089318560088,0.49944074852107723,0.50452033046759348,0.50958131816869634,0.5203025121901228,0.00017774590586512069
z_std,0.12092824496169365,0.029084835042256535,0.067837536723283104,0.10151742855578184,0.11862626795582223,0.13856509239036346,0.1854807744686881,0.0010512593241135304
z_subj.1,0.53355041050368279,0.018565458511873269,0.49812509150771644,0.5208223188682698,0.53319059013242376,0.5456349824370651,0.57123205397604138,0.00045168668874429426
z_subj.2,0.51158282965011581,0.016939959098656917,0.47784258772142879,0.50020528797287478,0.51136691385077826,0.52326161025008078,0.54417638910111221,0.00031966490637491283
z_subj.3,0.55374043754868907,0.018228930261803906,0.51776403890297817,0.54157621998148242,0.5538113420373233,0.56621444462896053,0.58900615583621296,0.00047814393683829812
z_subj.4,0.48752823307600091,0.016505839873322575,0.45517697662666096,0.4766884076811429,0.4879334323441249,0.49852420782487195,0.51920137972713198,0.00029618619751900065
z_subj.5,0.48281940298794795,0.016751829430992751,0.45046045825614989,0.47126886939065288,0.48300277217936244,0.494030198355211,0.51450405750350348,0.00033259038269009274
z_subj.6,0.49598941486014481,0.018364524187411475,0.4581886945569914,0.48403515383108303,0.49607779175516431,0.50824617330025856,0.5309108852695793,0.00036492250900073159
z_subj.7,0.48748832379388407,0.016868664754396048,0.45349836655212855,0.47632089310963821,0.48808796911518809,0.49908015401985345,0.51905466399263578,0.00036367469727356867
z_subj.8,0.49465922649008282,0.016202534678077283,0.46269674794787857,0.48390334652374384,0.49480248503242708,0.5055182936632191,0.52672066447692389,0.00031743354143066234
z_subj.9,0.51802928136837834,0.016967620599383327,0.48539752890325372,0.50653131349879221,0.51776066985221902,0.52940821188391718,0.55196005154023564,0.00034410344547592244
z_subj.10,0.44893151759518368,0.019833496311685524,0.40874577667007367,0.43577719488357264,0.44927044011668976,0.46236881909362243,0.48686584302856784,0.0006363992334876956
z_subj.11,0.52088364858596725,0.018215192257572614,0.48680434022871572,0.50840297576284055,0.5204065614412462,0.53281929059178867,0.55731739111549805,0.00040627212128927068
z_subj.12,0.53257816004927605,0.01658649081285864,0.50103531327681672,0.52128665919689121,0.53247041565126296,0.54404905995380282,0.56584853725801587,0.00036228116570739865
z_subj.13,0.47372961333718383,0.01834383537940865,0.43547934155948276,0.46163781430632933,0.47447826562815498,0.48645726997892791,0.50834523500545614,0.00046548640441763272
z_subj.14,0.52294136250045165,0.018301606809747753,0.48703985257144206,0.5102300607191711,0.52287666876464467,0.53572935728684767,0.55875039971248497,0.00035112191371273034
z_subj.15,0.49550733348859277,0.016900382345403545,0.46200434361279297,0.48427931498958871,0.49552776985578395,0.50688912164604571,0.52837532590104563,0.00036215358588034818
z_subj.16,0.49769593164082543,0.018773238338784692,0.46007158622439587,0.48545375768849863,0.4977719201823238,0.51049592032749136,0.53352515195977501,0.0003878051431259961
z_subj.17,0.48616254614165411,0.016251103403753811,0.45405321490348499,0.47511105635042916,0.48632442247978613,0.49724437027302454,0.51700001610028312,0.00033377885009873719
z_subj.18,0.51502116922879104,0.016011301098658937,0.48408435240085401,0.50423457869650901,0.51490529121281703,0.52558446354004718,0.54626765717904868,0.00030854430986839717
z_subj.19,0.48671864774839541,0.018002298158541499,0.45078850871424703,0.47483520292093273,0.48675747923476648,0.49905505914034159,0.5209307083166792,0.00042458819720863532
z_subj.20,0.51296706756619692,0.016021599444163381,0.48117862483268248,0.50233689565589101,0.51304449004886743,0.52357580051060471,0.54355236447468969,0.00032740677368366122
