FoodNum	Food	LikingMean	LikingSD	LikingN	HealthMean	HealthSD	HealthN	TasteMean	TasteSD	TasteN
125	Twinkie.bmp	-0.36	1.3808	25	-1.04	1.0599	25	-0.04	1.3379	25
126	animalcrackers2.bmp	0.4	1.2247	25	-0.44	1.0832	25	0.24	1.2	25
127	vienna.bmp	-0.32	1.547	25	-0.32	1.1446	25	-0.48	1.3266	25
128	raspberries.bmp	0.56	1.5567	25	0.64	1.3503	25	1	1.118	25
129	reddelicious.bmp	0.8	1.1902	25	0.84	1.4341	25	0.96	0.9345	25
130	juniormintchocolate.bmp	0.24	1.562	25	-0.92	0.9967	25	0.4	1.2247	25
131	cherrypie2.bmp	0	1.354	25	-0.84	1.0279	25	0.28	1.2083	25
132	riprolls.bmp	-0.04	1.0985	25	-1.16	0.8	25	0.08	1.222	25
133	donettesbrown.bmp	0.16	1.5188	25	-1.04	1.0198	25	0.2	1.2583	25
134	CheesyDoritos.bmp	0.16	1.179	25	-0.68	0.9883	25	0.24	1.0116	25
135	peppermintpatty.bmp	0.32	1.1446	25	-0.8	1	25	0.48	0.8718	25
136	caramelcrisps.bmp	0.36	1.2871	25	-0.36	1.036	25	0.28	1.3392	25
137	jollyrancherblue.bmp	-0.2	1.291	25	-0.8	1	25	0.04	1.241	25
138	sardines.bmp	-0.84	1.2477	25	-0.04	1.0985	25	-0.64	1.3503	25
139	cheesencrackers.bmp	0.16	1.2806	25	-0.44	1.2275	25	0.2	1.1547	25
140	nutterbutter.bmp	0.92	1.0376	25	-0.72	1.2083	25	0.92	1.0376	25
141	yogurtandgranola.bmp	0.64	1.2871	25	0.24	1.1648	25	0.64	0.9522	25
142	icecreamsandwich.bmp	0.32	1.6513	25	-0.92	1.077	25	0.16	1.6248	25
143	butterfinger.bmp	0.04	1.4283	25	-0.68	1.464	25	0.4	1.291	25
144	WheatThins.bmp	-0.04	1.2741	25	-0.32	0.9	25	0.16	1.2477	25
145	sbcrackers.bmp	-0.08	1.1518	25	-0.04	1.0985	25	-0.16	1.0677	25
146	sweetpeas.bmp	-0.2	1.4142	25	0.36	1.3808	25	0.04	1.3379	25
147	tofu.bmp	0	1.5275	25	0.44	1.4457	25	0.16	1.4629	25
148	blueberryyogurt.bmp	0.28	1.3392	25	0.24	1.2342	25	0.28	1.2754	25
149	jollyrancherred.bmp	-0.36	1.2871	25	-0.88	0.9713	25	0.2	1.291	25
150	sauerkraut.bmp	-0.32	1.249	25	-0.6	1.0801	25	-0.2	1.1902	25
151	popcorn_buttered.bmp	0.32	1.1804	25	-0.8	1.1547	25	0.24	1.3	25
152	ApplePie.bmp	0	1.2583	25	-0.88	1.1662	25	0.16	1.2806	25
153	redvines_big.bmp	0	1.5	25	-1.08	0.8124	25	0.08	1.4119	25
154	SourSkittles.bmp	-0.04	1.241	25	-0.52	0.9626	25	0.04	1.3064	25
155	peaches.bmp	0.84	1.3128	25	0.28	1.0614	25	0.92	1.0376	25
156	oysters.bmp	-0.56	1.5022	25	-0.48	0.8718	25	-0.52	1.4177	25
157	coke.bmp	0.28	1.3699	25	-0.72	1.2083	25	0.24	1.3317	25
158	TeddyGrahamsplain_small.bmp	0.32	1.4059	25	-0.56	1.0033	25	0.16	1.4629	25
159	KitKat_small.bmp	0.48	1.2623	25	-0.52	1.2623	25	0.72	1.1733	25
160	FrootLoops.bmp	0.16	1.3748	25	-0.72	1.0214	25	0.36	1.3191	25
161	Ghiradelli_milk.bmp	0.2	1.5275	25	-0.96	0.9345	25	0.36	1.4686	25
162	TeddyGrahamschocolate.bmp	0.48	1.2623	25	-0.52	1.2288	25	0.6	1.1902	25
163	plum.bmp	-0.48	1.4754	25	0	1.0801	25	-0.08	1.3515	25
164	combos.bmp	0.32	1.0296	25	-0.92	0.9539	25	0.36	1.1504	25
165	PopTartsCinnamon.bmp	-0.2	1.5546	25	-0.96	1.0198	25	0.24	1.3928	25
166	animalcrackers_iced.bmp	0.16	1.4048	25	-0.68	1.1446	25	0.16	1.179	25
167	MilkyWay.bmp	0.56	1.2936	25	-1.16	0.8505	25	0.6	1.2247	25
168	Sourpatch.bmp	0.08	1.2557	25	-0.96	0.9345	25	0.2	1.3229	25
169	tomatoes.bmp	0.12	1.6155	25	0.52	1.5033	25	0.24	1.3928	25
170	wwbrownie.bmp	0.24	1.4514	25	-0.56	1.0832	25	0.08	1.4697	25
171	palm.bmp	-0.2	1.2583	25	0	1.118	25	-0.16	1.3128	25
172	Goldfish.bmp	0.24	1.2675	25	-0.76	1.0116	25	0.6	1.1547	25
173	pineapple.bmp	0.88	1.1299	25	0.32	1.249	25	0.64	1.3503	25
174	cookiecandy.bmp	0.08	1.2557	25	-0.28	1.1372	25	0.2	1.2583	25
175	almondjoy.bmp	0.04	1.4855	25	-0.76	1.2	25	0.6	1.5	25
176	cauliflower.bmp	0.04	1.6452	25	0.84	1.2806	25	0.12	1.5362	25
177	SweetTarts_small.bmp	-0.2	1.291	25	-0.84	1.0279	25	0	1.1547	25
178	cashews.bmp	0.44	1.4742	25	-0.16	1.3441	25	0.4	1.291	25
179	Ghiradelli_milk_Almonds.bmp	0.36	1.4967	25	-0.6	1.1902	25	0.44	1.4166	25
180	RiceKrispyTreat_small.bmp	0.2	1.4434	25	-0.36	1.3808	25	0.4	1.1902	25
181	fruitsnacks.bmp	0.2	1.3844	25	-0.76	0.9256	25	0.28	1.2423	25
182	ramen_beef.bmp	-0.04	1.4855	25	-0.72	1.1372	25	-0.12	1.4526	25
