parcode,trial,rt,choice,item_left,item_right
0,191,3000,1,0,1
0,192,2500,-1,0,1
0,193,1190,1,0,1
0,194,5450,-1,0,1
0,195,1280,1,0,1
0,196,800,1,0,1
0,197,2720,-1,0,1
0,198,2600,1,0,1
0,199,2490,1,0,1
0,200,1200,1,0,1
0,201,2780,1,0,1
0,202,1540,1,0,1
0,203,4010,1,0,1
0,204,4880,-1,0,1
0,205,2070,1,0,1
0,206,3480,1,0,1
0,207,1700,1,0,1
0,208,2960,-1,0,1
0,209,5150,-1,0,1
0,210,2610,-1,0,1
0,211,850,1,0,1
0,212,9400,1,0,1
0,213,2810,1,0,1
0,214,5940,1,0,1
0,215,6670,1,0,1
0,216,2730,-1,0,1
0,217,2740,-1,0,1
0,218,940,1,0,1
0,219,1840,1,0,1
0,220,2850,1,0,1
0,221,2870,1,0,1
0,222,4360,-1,0,1
0,223,1240,1,0,1
0,224,4120,-1,0,1
0,225,2290,1,0,1
0,226,1000,1,0,1
0,227,1590,1,0,1
0,228,3430,1,0,1
0,229,3650,-1,0,1
0,230,2250,1,0,1
0,231,7260,1,0,1
0,232,2900,1,0,1
0,233,1730,1,0,1
0,234,1500,-1,0,1
0,235,880,1,0,1
0,236,610,1,0,1
0,237,1950,1,0,1
0,238,1160,-1,0,1
0,239,4950,1,0,1
0,240,4590,1,0,1
0,241,2610,-1,0,1
0,242,2450,-1,0,1
0,243,5090,-1,0,1
0,244,1220,1,0,1
0,245,4860,1,0,1
0,246,5990,1,0,1
0,247,1860,-1,0,1
0,248,1550,-1,0,1
0,249,1390,1,0,1
0,250,560,1,0,1
0,251,9720,1,0,1
0,252,4550,-1,0,1
0,253,1740,1,0,1
0,254,4370,1,0,1
0,255,2400,1,0,1
0,256,940,1,0,1
0,257,5210,1,0,1
0,258,3340,1,0,1
0,259,730,1,0,1
0,260,1090,-1,0,1
0,261,840,1,0,1
0,262,1420,-1,0,1
0,263,2820,1,0,1
0,264,4580,-1,0,1
0,265,4790,1,0,1
0,266,1790,1,0,1
