parcode,trial,fix_item,fix_time
0,26,0,60
0,26,2,870
0,26,0,80
0,26,1,1660
0,27,0,220
0,27,2,140
0,27,0,90
0,27,1,440
0,27,0,70
0,27,2,530
0,27,0,50
0,27,1,40
0,28,0,190
0,28,1,500
0,28,0,70
0,28,2,380
0,28,0,70
0,28,1,510
0,28,0,90
0,28,2,330
0,28,0,60
0,28,1,2800
0,28,0,80
0,28,2,1130
0,28,0,80
0,28,1,160
0,28,0,60
0,28,2,330
0,28,0,80
0,28,1,980
0,28,0,70
0,28,2,720
0,28,0,90
0,28,1,150
0,28,0,90
0,28,2,760
0,28,0,70
0,28,1,360
0,29,0,370
0,29,1,380
0,29,0,60
0,29,2,300
0,29,0,70
0,29,1,430
0,29,0,80
0,29,2,660
0,30,0,230
0,30,1,380
0,30,0,80
0,30,2,460
0,30,0,70
0,30,1,60
0,31,0,310
0,31,1,360
0,32,0,230
0,32,1,250
0,32,0,70
0,32,2,440
0,32,0,90
0,32,1,640
0,32,0,70
0,32,2,1570
0,32,0,160
0,32,1,780
0,32,0,70
0,32,2,780
0,32,0,80
0,32,1,610
0,33,0,280
0,33,1,190
0,33,0,80
0,33,2,450
0,33,0,80
0,33,1,700
0,33,0,60
0,33,2,390
0,34,0,210
0,34,2,190
0,34,0,80
0,34,1,390
0,34,0,80
0,34,2,210
0,35,0,210
0,35,2,180
0,35,0,90
0,35,1,530
0,35,0,70
0,35,2,790
0,35,0,80
0,35,1,700
0,36,0,340
0,36,1,180
0,36,0,100
0,36,2,940
0,36,0,60
0,36,1,490
0,36,0,90
0,36,2,480
0,36,0,60
0,36,1,260
0,36,0,70
0,36,2,380
0,36,0,80
0,36,1,790
0,37,0,290
0,37,1,200
0,37,0,90
0,37,2,530
0,37,0,80
0,37,1,1690
0,38,0,330
0,38,2,140
0,38,0,80
0,38,1,380
0,38,0,80
0,38,2,780
0,38,0,60
0,38,1,740
0,38,0,50
0,38,2,280
0,39,0,270
0,39,1,380
0,39,0,90
0,39,2,40
0,40,0,210
0,40,2,220
0,40,0,230
0,40,1,450
0,40,0,300
0,40,2,1660
0,40,0,90
0,40,1,190
0,40,0,260
0,40,2,50
0,41,0,240
0,41,2,190
0,41,0,70
0,41,1,650
0,41,0,70
0,41,2,820
0,42,0,230
0,42,1,350
0,42,0,80
0,42,2,350
0,43,0,240
0,43,1,200
0,43,0,310
0,43,2,400
0,43,0,70
0,43,1,850
0,43,0,70
0,43,2,320
0,44,0,240
0,44,1,170
0,44,0,70
0,44,2,1080
0,44,0,260
0,45,0,280
0,45,1,280
0,45,0,200
0,46,0,310
0,46,2,180
0,46,0,160
0,46,1,360
0,46,0,60
0,46,2,510
0,46,0,70
0,46,1,750
0,46,0,30
0,46,2,460
0,46,0,80
0,46,1,1180
0,46,0,80
0,46,2,480
0,46,0,70
0,46,1,260
0,46,0,80
0,46,2,120
0,46,0,70
0,47,0,280
0,47,2,140
0,48,0,170
0,48,2,170
0,48,0,90
0,48,1,400
0,48,0,70
0,48,2,1410
0,48,0,70
0,48,1,820
0,48,0,40
0,49,0,320
0,49,2,230
0,49,0,80
0,49,1,710
0,50,0,410
0,50,1,170
0,50,0,80
0,50,2,110
0,51,0,230
0,51,1,140
0,51,0,80
0,51,2,1080
0,51,0,80
0,51,1,190
0,51,0,90
0,51,2,550
0,51,0,70
0,51,1,570
0,52,0,220
0,52,2,250
0,52,0,60
0,52,1,30
0,53,0,240
0,53,2,1040
0,53,0,80
0,53,1,420
0,53,0,70
0,53,2,440
0,54,0,210
0,54,1,190
0,54,0,380
0,54,2,270
0,54,0,80
0,54,1,930
0,54,0,190
0,54,2,1330
0,55,0,180
0,55,2,380
0,55,0,80
0,55,1,330
0,55,0,70
0,55,2,1290
0,55,0,60
0,55,1,400
0,55,0,60
0,55,2,1060
0,56,0,280
0,56,1,120
0,56,0,110
0,56,2,520
0,56,0,70
0,56,1,730
0,57,0,210
0,57,1,210
0,57,0,70
0,57,2,780
0,57,0,70
0,57,1,560
0,58,0,250
0,58,1,470
0,58,0,90
0,58,2,350
0,58,0,70
0,58,1,80
0,59,0,170
0,59,1,240
0,59,0,90
0,59,2,390
0,60,0,200
0,60,1,290
0,60,0,90
0,60,2,370
0,60,0,80
0,60,1,290
0,61,0,250
0,61,2,820
0,61,0,90
0,61,1,520
0,61,0,80
0,61,2,670
0,62,0,210
0,62,2,150
0,62,0,70
0,62,1,410
0,62,0,80
0,62,2,1350
0,62,0,80
0,62,1,430
0,62,0,110
0,62,2,480
0,62,0,80
0,62,1,80
0,63,0,220
0,63,1,240
0,63,0,70
0,63,2,430
0,63,0,210
0,63,1,1060
0,63,0,80
0,63,2,960
0,63,0,70
0,63,1,60
0,64,0,150
0,64,1,320
0,64,0,60
0,65,0,770
0,65,1,150
0,65,0,80
0,65,2,370
0,65,0,80
0,66,0,230
0,66,1,230
0,66,0,60
0,66,2,230
0,67,0,310
0,67,1,250
0,67,0,70
0,67,2,620
0,67,0,170
0,67,1,450
0,67,0,90
0,67,2,210
0,67,0,380
0,67,1,710
0,67,0,190
0,67,2,570
0,68,0,260
0,68,1,250
0,68,0,80
0,68,2,1930
0,68,0,70
0,68,1,410
0,68,0,50
0,68,2,190
0,69,0,230
0,69,1,230
0,69,0,60
0,69,2,310
0,69,0,90
0,69,1,1940
0,70,0,210
0,70,2,200
0,70,0,80
0,70,1,290
0,70,0,120
0,70,2,390
0,70,0,100
0,70,1,540
0,70,0,80
0,70,2,570
0,70,0,90
0,70,1,310
0,70,0,70
0,70,2,460
0,70,0,90
0,70,1,90
0,71,0,210
0,71,2,150
0,71,0,70
0,71,1,600
0,71,0,80
0,71,2,1860
0,71,0,80
0,71,1,3130
0,71,0,90
0,71,2,460
0,71,0,70
0,71,1,650
0,72,0,230
0,72,1,230
0,72,0,80
0,72,2,260
0,72,0,80
0,72,1,990
0,72,0,80
0,72,2,1680
0,72,0,90
0,72,1,810
0,72,0,90
0,72,2,60
0,73,0,280
0,73,2,200
0,73,0,90
0,73,1,680
0,73,0,60
0,74,0,270
0,74,1,160
0,74,0,80
0,74,2,420
0,74,0,80
0,74,1,550
0,75,0,260
0,75,1,220
0,75,0,60
0,75,2,620
0,75,0,90
0,75,1,1050
0,75,0,70
0,75,2,430
0,76,0,190
0,76,1,270
0,77,0,200
0,77,1,140
0,77,0,70
0,77,2,1070
0,78,0,130
0,78,2,780
0,78,0,80
0,78,1,50
0,79,0,220
0,79,1,440
0,79,0,50
0,79,2,460
0,79,0,70
0,79,1,380
0,79,0,90
0,79,2,890
0,79,0,80
0,79,1,380
0,80,0,380
0,80,1,320
0,80,0,70
0,80,2,300
0,81,0,220
0,81,1,160
0,81,0,60
0,81,2,1150
0,82,0,220
0,82,1,330
0,82,0,170
0,82,2,280
0,82,0,40
0,83,0,190
0,83,1,170
0,83,0,90
0,83,2,290
0,83,0,60
0,83,1,500
0,84,0,220
0,84,1,200
0,84,0,80
0,84,2,630
0,84,0,70
0,84,1,1460
0,84,0,90
0,84,2,1170
0,85,0,350
0,85,2,300
0,85,0,180
0,85,1,270
0,86,0,200
0,86,1,350
0,86,0,70
0,86,2,630
0,87,0,240
0,87,1,840
0,87,0,90
0,87,2,300
0,88,0,220
0,88,2,250
0,88,0,90
0,88,1,80
0,89,0,230
0,89,2,220
0,89,0,80
0,89,1,260
0,89,0,90
0,89,2,670
0,89,0,50
0,89,1,720
0,89,0,80
0,89,2,740
0,89,0,60
0,89,1,120
0,89,0,70
0,89,2,490
0,90,0,240
0,90,1,290
0,90,0,60
0,90,2,210
0,91,0,240
0,91,1,250
0,91,0,200
0,91,2,570
0,92,0,270
0,92,2,200
0,92,0,70
0,92,1,370
0,92,0,90
0,92,2,330
0,92,0,80
0,92,1,440
0,92,0,90
0,92,2,400
0,92,0,110
0,92,1,500
0,92,0,60
0,92,2,330
0,92,0,70
0,92,1,970
0,92,0,50
0,92,2,1080
0,92,0,140
0,92,1,1950
0,92,0,70
0,92,2,710
0,92,0,80
0,92,1,840
0,93,0,210
0,93,1,190
0,93,0,80
0,93,2,370
0,93,0,190
0,93,1,420
0,93,0,210
0,93,2,430
0,93,0,80
0,93,1,140
0,93,0,60
0,93,2,1710
0,94,0,770
0,94,1,330
0,94,0,60
0,94,2,300
0,95,0,390
0,95,1,210
0,95,0,60
0,95,2,1070
0,96,0,210
0,96,1,290
0,96,0,70
0,96,2,260
0,96,0,50
0,96,1,20
0,97,0,190
0,97,2,170
0,97,0,80
0,97,1,30
0,98,0,230
0,98,1,230
0,98,0,80
0,98,2,1490
0,98,0,90
0,98,1,350
0,98,0,40
0,99,0,350
0,99,2,510
0,99,0,70
0,99,1,510
0,99,0,80
0,99,2,600
0,99,0,80
0,99,1,390
0,99,0,70
0,99,2,90
0,99,0,60
0,99,1,490
0,99,0,70
0,99,2,390
0,99,0,80
0,99,1,290
0,100,0,270
0,100,1,330
0,101,0,250
0,101,2,310
0,101,0,60
0,101,1,10
0,102,0,210
0,102,1,200
0,102,0,80
0,102,2,330
0,102,0,60
0,102,1,370
0,102,0,70
0,102,2,130
0,103,0,340
0,103,2,170
0,103,0,70
0,103,1,280
0,103,0,90
0,103,2,820
0,104,0,300
0,104,1,140
0,104,0,80
0,104,2,250
0,104,0,80
0,104,1,510
0,104,0,80
0,104,2,920
0,104,0,80
0,104,1,620
0,104,0,90
0,104,2,420
0,105,0,250
0,105,1,440
0,105,0,80
0,105,2,140
0,106,0,50
0,106,1,230
0,106,0,80
0,106,2,290
0,106,0,70
0,106,1,570
0,106,0,60
0,106,2,590
0,106,0,120
0,106,1,420
0,106,0,80
0,106,2,790
0,106,0,90
0,106,1,370
0,106,0,70
0,106,2,540
0,106,0,70
0,106,1,380
0,106,0,230
0,106,2,900
0,106,0,70
0,106,1,320
0,106,0,20
0,107,0,160
0,107,1,140
0,107,0,80
0,107,2,400
0,107,0,140
0,108,0,240
0,108,2,420
0,108,0,70
0,108,1,350
0,108,0,280
0,108,2,470
0,108,0,80
0,108,1,380
0,108,0,80
0,108,2,700
0,108,0,60
0,108,1,970
0,109,0,220
0,109,1,210
0,109,0,80
0,109,2,500
0,109,0,100
0,109,1,860
0,109,0,70
0,109,2,330
0,109,0,70
0,109,1,250
0,109,0,80
0,109,2,100
0,110,0,190
0,110,1,320
0,110,0,80
0,110,2,300
0,111,0,230
0,111,1,250
0,111,0,60
0,111,2,350
0,112,0,240
0,112,1,180
0,112,0,90
0,112,2,420
0,112,0,130
0,112,1,1080
0,112,0,90
0,112,2,660
0,113,0,240
0,113,1,260
0,113,0,100
0,113,2,520
0,113,0,70
0,113,1,370
0,113,0,70
0,113,2,420
0,113,0,220
0,113,1,440
0,114,0,220
0,114,2,230
0,114,0,70
0,114,1,550
0,114,0,70
0,114,2,390
0,114,0,80
0,114,1,1050
0,115,0,220
0,115,2,170
0,115,0,60
0,115,1,480
0,115,0,100
0,115,2,720
0,115,0,60
0,115,1,1010
0,115,0,70
0,115,2,120
0,116,0,220
0,116,2,580
0,116,0,80
0,116,1,470
0,116,0,80
0,116,2,480
0,116,0,200
0,116,1,1080
0,116,0,550
0,117,0,250
0,117,1,410
0,117,0,100
0,117,2,470
0,117,0,70
0,117,1,100
0,118,0,230
0,118,1,270
0,119,0,200
0,119,1,290
0,119,0,80
0,119,2,320
0,119,0,260
0,119,1,2200
0,120,0,320
0,120,1,240
0,120,0,110
0,120,2,370
0,120,0,90
0,120,1,1390
0,120,0,60
0,120,2,640
0,121,0,210
0,121,1,260
0,121,0,90
0,121,2,2130
0,121,0,70
0,121,1,1090
0,121,0,60
0,121,2,460
0,121,0,90
0,121,1,440
0,121,0,80
0,121,2,1110
0,121,0,70
0,121,1,550
0,122,0,210
0,122,1,410
0,122,0,70
0,122,2,300
0,122,0,70
0,122,1,850
0,122,0,80
0,122,2,650
0,122,0,60
0,122,1,1530
0,122,0,60
0,122,2,2570
0,122,0,90
0,122,1,710
0,122,0,60
0,123,0,230
0,123,1,230
0,123,0,50
0,123,2,320
0,123,0,50
0,123,1,2800
0,124,0,370
0,124,1,380
0,124,0,240
0,124,2,340
0,124,0,70
0,124,1,440
0,125,0,190
0,125,2,510
0,126,0,280
0,126,1,330
0,126,0,60
0,126,2,470
0,127,0,200
0,127,1,330
0,127,0,60
0,127,2,500
0,127,0,50
0,128,0,280
0,128,2,230
0,128,0,80
0,128,1,950
0,128,0,80
0,128,2,2340
0,128,0,70
0,128,1,660
0,128,0,80
0,128,2,1380
0,128,0,60
0,128,1,500
0,128,0,530
0,128,2,1520
0,128,0,80
0,128,1,120
0,129,0,200
0,129,1,650
0,129,0,60
0,129,2,90
0,130,0,210
0,130,1,370
0,130,0,60
0,130,2,720
0,130,0,190
0,130,1,290
0,130,0,80
0,130,2,340
0,131,0,210
0,131,2,140
0,131,0,80
0,131,1,520
0,131,0,60
0,132,0,210
0,132,1,240
0,132,0,80
0,132,2,400
0,133,0,200
0,133,2,220
0,133,0,60
0,133,1,310
0,133,0,70
0,133,2,650
0,133,0,90
0,133,1,360
0,134,0,250
0,134,2,320
0,134,0,90
0,134,1,480
0,134,0,90
0,134,2,310
0,135,0,310
0,135,1,550
0,135,0,70
0,135,2,200
0,136,0,280
0,136,1,110
0,136,0,70
0,136,2,450
0,137,0,210
0,137,1,170
0,137,0,70
0,137,2,160
0,137,0,70
0,137,1,2680
0,138,0,250
0,138,2,210
0,138,0,60
0,138,1,420
0,139,0,250
0,139,2,240
0,139,0,60
0,139,1,190
0,140,0,330
0,140,2,140
0,140,0,80
0,140,1,150
0,141,0,240
0,141,1,490
0,141,0,80
0,141,2,540
0,141,0,90
0,141,1,640
0,141,0,80
0,141,2,180
0,142,0,250
0,142,1,220
0,142,0,500
0,142,2,360
0,142,0,70
0,142,1,290
0,142,0,70
0,142,2,290
0,143,0,230
0,143,2,410
0,143,0,100
0,143,1,590
0,143,0,70
0,143,2,1030
0,143,0,80
0,143,1,540
0,143,0,70
0,143,2,320
0,144,0,460
0,144,2,450
0,144,0,70
0,144,1,420
0,144,0,60
0,144,2,620
0,144,0,60
0,144,1,1170
0,144,0,500
0,144,2,30
0,145,0,230
0,145,1,490
0,145,0,60
0,145,2,80
0,146,0,220
0,146,1,240
0,146,0,70
0,146,2,450
0,146,0,60
0,146,1,390
0,146,0,80
0,146,2,270
0,147,0,270
0,147,1,390
0,147,0,80
0,147,2,330
0,148,0,300
0,148,2,210
0,148,0,70
0,148,1,110
0,149,0,350
0,149,1,200
0,149,0,80
0,149,2,470
0,149,0,70
0,149,1,180
0,149,0,70
0,149,2,440
0,150,0,270
0,150,1,130
0,150,0,80
0,150,2,350
0,151,0,270
0,151,1,410
0,151,0,50
0,151,2,400
0,152,0,260
0,152,1,230
0,152,0,90
0,152,2,300
0,153,0,220
0,153,2,520
0,153,0,90
0,153,1,640
0,153,0,70
0,153,2,330
0,153,0,70
0,153,1,650
0,153,0,80
0,153,2,440
0,153,0,90
0,153,1,520
0,154,0,260
0,154,2,290
0,154,0,70
0,154,1,590
0,154,0,70
0,154,2,260
0,154,0,80
0,154,1,500
0,155,0,190
0,155,2,210
0,155,0,90
0,155,1,410
0,155,0,70
0,155,2,450
0,155,0,80
0,155,1,260
0,156,0,210
0,156,2,210
0,156,0,60
0,156,1,180
0,156,0,60
0,156,2,600
0,156,0,60
0,156,1,230
0,156,0,80
0,156,2,640
0,156,0,80
0,156,1,1040
0,156,0,60
0,156,2,670
0,156,0,70
0,156,1,420
0,157,0,210
0,157,2,390
0,157,0,80
0,157,1,380
0,157,0,50
0,157,2,530
0,157,0,70
0,157,1,780
0,157,0,200
0,157,2,1300
0,158,0,220
0,158,1,390
0,158,0,70
0,158,2,340
0,158,0,70
0,158,1,80
0,159,0,200
0,159,2,240
0,159,0,80
0,159,1,900
0,159,0,70
0,159,2,320
0,159,0,100
0,159,1,430
0,159,0,60
0,160,0,260
0,160,2,280
0,160,0,80
0,160,1,240
0,161,0,240
0,161,1,40
0,161,0,50
0,161,2,640
0,161,0,70
0,161,1,610
0,161,0,100
0,161,2,380
0,161,0,80
0,161,1,350
0,161,0,270
0,161,2,730
0,161,0,360
0,161,1,850
0,161,0,90
0,161,2,990
0,161,0,80
0,161,1,680
0,161,0,90
0,161,2,650
0,161,0,120
0,161,1,350
0,161,0,60
0,161,2,400
0,161,0,150
0,161,1,490
0,161,0,100
0,161,2,1200
0,161,0,70
0,161,1,690
0,161,0,70
0,161,2,1470
0,161,0,670
0,161,1,580
0,162,0,280
0,162,2,420
0,162,0,170
0,162,1,1020
0,162,0,90
0,162,2,960
0,162,0,70
0,162,1,1000
0,162,0,80
0,162,2,1220
0,163,0,220
0,163,1,340
0,163,0,70
0,163,2,690
0,163,0,70
0,163,1,930
0,163,0,60
0,163,2,570
0,163,0,370
0,163,1,380
0,163,0,80
0,163,2,420
0,163,0,80
0,163,1,140
0,163,0,90
0,163,2,1100
0,164,0,240
0,164,1,680
0,164,0,80
0,164,2,390
0,164,0,70
0,164,1,660
0,164,0,110
0,164,2,80
0,165,0,280
0,165,1,180
0,165,0,80
0,165,2,780
0,165,0,70
0,165,1,150
0,166,0,230
0,166,2,200
0,166,0,80
0,166,1,950
0,166,0,80
0,166,2,570
0,166,0,70
0,166,1,1990
0,167,0,200
0,167,1,270
0,167,0,60
0,167,2,430
0,167,0,70
0,167,1,430
0,167,0,70
0,167,2,270
0,168,0,150
0,168,2,140
0,168,0,50
0,168,1,320
0,168,0,180
0,168,2,360
0,169,0,280
0,169,1,220
0,169,0,70
0,169,2,300
0,169,0,80
0,169,1,320
0,169,0,70
0,169,2,840
0,169,0,70
0,169,1,980
0,169,0,80
0,169,2,1500
0,169,0,60
0,169,1,790
0,169,0,10
0,170,0,280
0,170,1,370
0,170,0,90
0,170,2,310
0,170,0,60
0,170,1,2470
0,170,0,90
0,170,2,350
0,170,0,70
0,170,1,3830
0,170,0,80
0,170,2,1180
0,171,0,230
0,171,1,220
0,171,0,60
0,171,2,520
0,172,0,210
0,172,1,290
0,172,0,70
0,172,2,260
0,173,0,470
0,173,1,240
0,173,0,80
0,173,2,330
0,174,0,210
0,174,1,230
0,174,0,190
0,175,0,250
0,175,2,160
0,175,0,80
0,175,1,410
0,176,0,250
0,176,1,300
0,176,0,210
0,176,2,220
0,177,0,160
0,177,1,190
0,177,0,70
0,177,2,250
0,177,0,100
0,177,1,760
0,177,0,70
0,177,2,690
0,178,0,240
0,178,1,220
0,178,0,90
0,178,2,340
0,178,0,60
0,178,1,1490
0,178,0,70
0,178,2,240
0,179,0,350
0,179,2,300
0,179,0,90
0,179,1,610
0,179,0,90
0,179,2,410
0,179,0,90
0,179,1,460
0,179,0,70
0,179,2,500
0,180,0,200
0,180,2,220
0,180,0,160
0,180,1,580
0,180,0,70
0,180,2,490
0,180,0,80
0,180,1,120
0,180,0,70
0,180,2,240
0,180,0,80
0,180,1,840
0,181,0,210
0,181,2,220
0,182,0,230
0,182,2,350
0,182,0,80
0,182,1,260
0,183,0,310
0,183,1,220
0,184,0,210
0,184,1,130
0,184,0,70
0,184,2,370
0,184,0,60
0,184,1,1320
0,184,0,50
0,184,2,280
0,185,0,400
0,185,1,390
0,185,0,80
0,185,2,430
0,185,0,80
0,185,1,660
0,185,0,80
0,185,2,760
0,185,0,90
0,185,1,800
0,185,0,70
0,185,2,390
0,185,0,70
0,185,1,460
0,185,0,80
0,185,2,360
0,185,0,170
0,185,1,490
0,185,0,60
0,185,2,1350
0,185,0,70
0,185,1,990
0,185,0,70
0,185,2,430
0,185,0,80
0,185,1,680
0,185,0,90
0,185,2,760
0,185,0,70
0,185,1,2280
0,185,0,70
0,185,2,50
0,186,0,200
0,186,1,210
0,186,0,80
0,186,2,1190
0,186,0,220
0,186,1,130
0,187,0,230
0,187,1,250
0,187,0,90
0,187,2,500
0,187,0,20
0,188,0,240
0,188,1,130
0,189,0,230
0,189,1,130
0,189,0,240
0,189,2,320
0,189,0,80
0,189,1,670
0,189,0,60
0,189,2,340
0,190,0,240
0,190,2,180
0,190,0,90
0,190,1,430
0,191,0,210
0,191,2,200
0,191,0,90
0,191,1,420
0,191,0,90
0,191,2,790
0,191,0,70
0,191,1,710
0,191,0,70
0,191,2,350
0,192,0,230
0,192,2,190
0,192,0,60
0,192,1,460
0,192,0,90
0,192,2,240
0,192,0,1230
0,193,0,210
0,193,2,230
0,193,0,80
0,193,1,460
0,193,0,80
0,193,2,130
0,194,0,250
0,194,1,290
0,194,0,70
0,194,2,490
0,194,0,80
0,194,1,680
0,194,0,100
0,194,2,1870
0,194,0,80
0,194,1,620
0,194,0,170
0,194,2,390
0,194,0,80
0,194,1,280
0,195,0,260
0,195,1,230
0,195,0,80
0,195,2,340
0,195,0,50
0,195,1,320
0,196,0,200
0,196,1,390
0,196,0,170
0,196,2,40
0,197,0,310
0,197,1,690
0,197,0,360
0,197,2,1020
0,197,0,80
0,197,1,260
0,198,0,220
0,198,2,130
0,198,0,70
0,198,1,680
0,198,0,80
0,198,2,1420
0,199,0,270
0,199,2,230
0,199,0,60
0,199,1,1610
0,199,0,80
0,199,2,240
0,200,0,350
0,200,1,180
0,200,0,80
0,200,2,280
0,200,0,90
0,200,1,220
0,201,0,180
0,201,1,560
0,201,0,70
0,201,2,360
0,201,0,80
0,201,1,1530
0,202,0,300
0,202,1,210
0,202,0,100
0,202,2,760
0,202,0,70
0,202,1,100
0,203,0,280
0,203,2,330
0,203,0,80
0,203,1,740
0,203,0,70
0,203,2,470
0,203,0,60
0,203,1,470
0,203,0,70
0,203,2,1440
0,204,0,220
0,204,1,230
0,204,0,80
0,204,2,420
0,204,0,60
0,204,1,1060
0,204,0,90
0,204,2,940
0,204,0,90
0,204,1,1290
0,204,0,280
0,204,2,120
0,205,0,230
0,205,2,230
0,205,0,90
0,205,1,320
0,205,0,70
0,205,2,140
0,205,0,90
0,205,1,610
0,205,0,220
0,205,2,70
0,206,0,220
0,206,1,200
0,206,0,180
0,206,2,460
0,206,0,70
0,206,1,660
0,206,0,90
0,206,2,870
0,206,0,70
0,206,1,410
0,206,0,80
0,206,2,170
0,207,0,290
0,207,2,360
0,207,0,80
0,207,1,310
0,207,0,70
0,207,2,590
0,208,0,140
0,208,1,130
0,208,0,210
0,208,2,380
0,208,0,80
0,208,1,320
0,208,0,150
0,208,2,1550
0,209,0,260
0,209,1,320
0,209,0,100
0,209,2,760
0,209,0,70
0,209,1,1680
0,209,0,90
0,209,2,1870
0,210,0,260
0,210,2,390
0,210,0,70
0,210,1,470
0,210,0,70
0,210,2,560
0,210,0,70
0,210,1,400
0,210,0,70
0,210,2,250
0,211,0,300
0,211,1,550
0,212,0,220
0,212,2,730
0,212,0,80
0,212,1,460
0,212,0,100
0,212,2,510
0,212,0,60
0,212,1,980
0,212,0,50
0,212,2,660
0,212,0,70
0,212,1,440
0,212,0,90
0,212,2,950
0,212,0,60
0,212,1,570
0,212,0,250
0,212,2,1060
0,212,0,70
0,212,1,680
0,212,0,80
0,212,2,1230
0,213,0,230
0,213,2,450
0,213,0,70
0,213,1,320
0,213,0,80
0,213,2,480
0,213,0,100
0,213,1,730
0,213,0,50
0,213,2,300
0,214,0,240
0,214,2,170
0,214,0,70
0,214,1,430
0,214,0,80
0,214,2,280
0,214,0,90
0,214,1,400
0,214,0,70
0,214,2,650
0,214,0,70
0,214,1,880
0,214,0,100
0,214,2,710
0,214,0,80
0,214,1,630
0,214,0,60
0,214,2,600
0,214,0,80
0,214,1,250
0,215,0,240
0,215,1,720
0,215,0,90
0,215,2,700
0,215,0,70
0,215,1,3860
0,215,0,90
0,215,2,900
0,216,0,240
0,216,2,570
0,216,0,70
0,216,1,320
0,216,0,80
0,216,2,290
0,216,0,50
0,216,1,430
0,216,0,80
0,216,2,600
0,217,0,730
0,217,1,500
0,217,0,80
0,217,2,390
0,217,0,90
0,217,1,390
0,217,0,70
0,217,2,490
0,218,0,260
0,218,2,240
0,218,0,70
0,218,1,370
0,219,0,210
0,219,2,370
0,219,0,70
0,219,1,460
0,219,0,50
0,219,2,490
0,219,0,70
0,219,1,120
0,220,0,230
0,220,1,330
0,220,0,60
0,220,2,470
0,220,0,70
0,220,1,390
0,220,0,90
0,220,2,360
0,220,0,90
