parcode,trial,rt,choice,item_left,item_right
0,84,3200,-1,-1,-1
0,85,1770,1,-1,-1
0,86,1440,1,-1,-1
0,87,1760,1,-1,-1
0,88,710,-1,-1,-1
0,89,1680,1,-1,-1
0,90,840,1,-1,-1
0,91,2610,1,-1,-1
0,92,760,1,-1,-1
0,93,820,1,-1,-1
0,94,1220,1,-1,-1
0,95,2840,1,-1,-1
0,96,2720,-1,-1,-1
0,97,5560,1,-1,-1
0,98,1130,1,-1,-1
0,99,1340,1,-1,-1
0,100,3030,1,-1,0
0,101,2070,1,-1,0
0,102,8140,1,-1,0
0,103,6860,1,-1,0
0,104,1540,1,-1,0
0,105,4850,1,-1,0
0,106,510,1,-1,0
0,107,2860,1,-1,0
0,108,4140,1,-1,0
0,109,1720,-1,-1,0
0,110,7090,-1,-1,0
0,111,1230,-1,-1,0
0,112,790,1,-1,0
0,113,3360,1,-1,0
0,114,7360,-1,-1,0
0,115,2790,1,-1,0
0,116,450,1,-1,0
0,117,1790,1,-1,0
0,118,1490,-1,-1,0
0,119,3130,-1,-1,0
0,120,320,1,-1,0
0,121,2940,-1,-1,0
0,122,1180,1,-1,0
0,123,8760,-1,-1,0
0,124,560,1,-1,0
0,125,10740,1,-1,0
0,126,1120,1,-1,0
0,127,4550,-1,-1,0
0,128,890,1,-1,0
0,129,6510,1,-1,0
0,130,880,1,-1,0
0,131,780,1,-1,0
0,132,2780,-1,-1,0
0,133,5930,-1,-1,0
0,134,7280,-1,-1,0
0,135,2780,-1,-1,0
0,136,3150,-1,-1,0
0,137,370,-1,-1,0
0,138,1300,1,-1,0
0,139,2670,1,-1,0
0,140,3160,1,-1,0
0,141,2090,-1,-1,0
0,142,1330,-1,-1,0
0,143,1310,-1,-1,0
0,144,940,1,-1,0
0,145,700,1,-1,0
0,146,690,1,-1,0
0,147,920,-1,-1,0
0,148,2340,1,-1,0
0,149,5260,1,-1,0
0,150,2050,1,-1,0
0,151,1150,-1,-1,0
0,152,720,-1,-1,0
0,153,1950,-1,-1,0
0,154,1480,-1,-1,0
0,155,2470,1,-1,0
0,156,890,1,-1,0
0,157,2850,1,-1,0
0,158,730,1,-1,0
0,159,1070,1,-1,0
0,160,2010,-1,-1,0
0,161,1590,1,-1,0
0,162,1900,1,-1,0
0,163,2650,1,-1,0
0,164,3390,1,-1,0
0,165,3700,1,-1,0
0,166,990,1,-1,0
0,167,2130,1,-1,0
0,168,1720,1,-1,0
0,169,4500,-1,-1,0
0,170,7200,-1,-1,0
0,171,1560,1,-1,0
