date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,5,3.238,1,1,0.20,faceMorph070.jpg,0.40,0.50,0.20,houseMorph052.jpg,-0.04,0.10,-0.00,0,1.037,weights,0.83,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,5,3.238,1,1,0.20,faceMorph070.jpg,0.40,0.50,0.20,houseMorph052.jpg,-0.04,0.10,-0.00,1,1.235,left,0.83,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,5,3.238,1,1,0.20,faceMorph070.jpg,0.40,0.50,0.20,houseMorph052.jpg,-0.04,0.10,-0.00,2,0.065,weights,0.83,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,5,3.238,1,1,0.20,faceMorph070.jpg,0.40,0.50,0.20,houseMorph052.jpg,-0.04,0.10,-0.00,3,0.835,right,0.83,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,5,3.238,1,1,0.20,faceMorph070.jpg,0.40,0.50,0.20,houseMorph052.jpg,-0.04,0.10,-0.00,4,0.066,weights,0.83,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,6,2.216,0,1,-1.26,faceMorph020.jpg,-0.60,1.00,-0.60,houseMorph083.jpg,-0.66,1.00,-0.66,0,0.517,weights,0.86,14
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,6,2.216,0,1,-1.26,faceMorph020.jpg,-0.60,1.00,-0.60,houseMorph083.jpg,-0.66,1.00,-0.66,1,0.867,left,0.86,14
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,6,2.216,0,1,-1.26,faceMorph020.jpg,-0.60,1.00,-0.60,houseMorph083.jpg,-0.66,1.00,-0.66,2,0.082,weights,0.86,14
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,6,2.216,0,1,-1.26,faceMorph020.jpg,-0.60,1.00,-0.60,houseMorph083.jpg,-0.66,1.00,-0.66,3,0.684,right,0.86,14
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,6,2.216,0,1,-1.26,faceMorph020.jpg,-0.60,1.00,-0.60,houseMorph083.jpg,-0.66,1.00,-0.66,4,0.066,weights,0.86,14
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,7,6.164,0,0,1.78,faceMorph057.jpg,0.14,3.00,0.42,houseMorph016.jpg,0.68,2.00,1.36,0,1.264,weights,0.75,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,7,6.164,0,0,1.78,faceMorph057.jpg,0.14,3.00,0.42,houseMorph016.jpg,0.68,2.00,1.36,1,3.835,left,0.75,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,7,6.164,0,0,1.78,faceMorph057.jpg,0.14,3.00,0.42,houseMorph016.jpg,0.68,2.00,1.36,2,0.066,weights,0.75,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,7,6.164,0,0,1.78,faceMorph057.jpg,0.14,3.00,0.42,houseMorph016.jpg,0.68,2.00,1.36,3,0.967,right,0.75,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,3,7,6.164,0,0,1.78,faceMorph057.jpg,0.14,3.00,0.42,houseMorph016.jpg,0.68,2.00,1.36,4,0.033,weights,0.75,9
